year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	721	Air Force	38	1653243	Rieker, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653243	Jr	P	8	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	30	1879035	Jones, Will	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879035	Fr	P	7	1	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	35	1879037	Gerlica, Jeff	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879037	Fr	P	7	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	37	1879038	Leaser, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879038	Fr	P	6	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	7	1653230	Jacobs, Tucker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653230	Jr	P	6	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	27	1527638	Stanford, Nathan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527638	Sr	P	5	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	18	1653245	Booker, Jacob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653245	Jr	INF	3	0	""	0.000	0.500	0.000	""	1	""	""	""	0	""	1	""	1	""	""	1	""	""	""	""	""
2017	12560	1	721	Air Force	28	1879040	Harrison, Morgan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879040	Fr	P	2	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	33	1769413	Plaskett, Steven	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769413	So	P	2	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	8	Alabama	7	1772378	Taylor, Chandler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1772378	So	OF	54	52	""	0.282	0.383	0.601	39	188	53	10	1	113	16	34	32	2	5	""	69	2	4	""	7	""
