year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	2	vs_rhp	10581	3	Adelphi	12	1890341	Cicileo, Lawrence	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1890341	Fr	OF	19	7		0.375	0.414	0.458	5	24	9	2		11		3	3		2		1		1			
2017	12560	2	vs_rhp	10581	3	Adelphi	56	1771393	Terwilliger, Lucas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771393	So	3B	16	4		0.391	0.417	0.478	6	23	9	2		11		3	1				3	1				
2017	12560	2	vs_rhp	10581	3	Adelphi	21	1653698	Orologio, Camden	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653698	Jr	1B	15	8		0.368	0.429	0.474	0	19	7	2		9		3	2				6	1				
2017	12560	2	vs_rhp	10581	3	Adelphi	42	1537990	Lemorocco, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1537990	Sr	OF	9	0		0.000	0.000	0.000	0	1	0			0		0					1					
2017	12560	2	vs_rhp	10581	3	Adelphi	17	1779110	Milo, Jordan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779110	So	2B	9	1		0.000	0.143	0.000	0	6	0			0		0	1				4					
2017	12560	2	vs_rhp	10581	3	Adelphi	31	1890345	Marci, Tom	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1890345	Fr	2B	8	0		0.000	0.000	0.000	1	3	0			0		0					2				1	
2017	12560	2	vs_rhp	10581	3	Adelphi	20	1771383	Krippel, Kevin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771383	So	C	8	1		0.200	0.273	0.200	1	10	2			2		0	1									
2017	12560	2	vs_rhp	10581	3	Adelphi	13	1890342	Bouchard, Tim	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1890342	Fr	INF	4	0		0.250	0.400	0.250	1	4	1			1		1	1				2					
2017	12560	2	vs_rhp	10581	3	Adelphi	1	1890335	Giakas, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1890335	Jr	OF	2	0		0.000	0.000	0.000	1	1	0			0		0										
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	4	1868415	Ware, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1868415	Sr	OF	50	49		0.309	0.429	0.404	39	136	42	11	1	55		17	20	10	2	6	24	2			13	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	20	1763334	Hackett, Wright	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1763334	Sr	OF	50	47		0.238	0.319	0.320	22	122	29	5	1	39	1	17	8	7	1	4	18	3	3		10	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	7	1638298	Rhodes, Ben	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1638298	Jr	OF	49	49		0.363	0.454	0.622	30	135	49	10	2	84	7	38	18	7	3	2	23	2	1		6	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	2	1868413	Burns, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1868413	Jr	INF	48	48		0.331	0.389	0.400	23	130	43	4	1	52	1	21	11	4	4	8	12	3	1		1	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	1	1868416	Copeland, Jay	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1868416	Jr	INF	48	45		0.325	0.392	0.423	19	123	40	5	2	52	1	15	10	6	4	5	15	4	2		3	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	6	1538057	Walden, AJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1538057	Jr	C	42	42		0.316	0.388	0.640	25	114	36	4		73	11	33	8	6	1		19	2			2	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	44	1538067	Mathis, Trey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1538067	Sr	1B	36	35		0.270	0.315	0.390	8	100	27	3		39	3	16	3	4	1		17				1	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	12	1868417	Ramsey, Nolan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1868417	So	INF	34	30		0.380	0.389	0.500	15	92	35	5		46	2	25	1	1	1		18	1	1			
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	18	1868420	Cleveland, Lance	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1868420	Jr	INF	34	27		0.289	0.400	0.342	9	76	22	4		26		7	8	6			9	4				
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	3	1868419	Duvall, Zack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1868419	Fr	INF	30	22		0.235	0.316	0.314	9	51	12	2	1	16		6	4	2		4	10				2	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	19	1868421	Bedingfield, Brady	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1868421	Jr	INF	20	15		0.206	0.300	0.206	6	34	7			7		2	4	1	1		14	1				
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	43	1422622	Giegling, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1422622	Sr	C	18	14		0.194	0.396	0.250	9	36	7	2		9		5	7	5			10	3				
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	9	1763325	Anderson, Wes	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1763325	Fr	INF	16	13		0.233	0.467	0.333	5	30	7			10	1	6	3	11	1		4	1				
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	28	1763336	Richardson, Seth	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1763336	Fr	OF	15	1		0.375	0.375	0.375	5	8	3			3		1					3		1		2	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	42	1638313	Seemann, Robby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1638313	Jr	C	13	5		0.250	0.368	0.375	6	16	4	2		6		0	2	1			3	2				
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	5	1763323	Price, Cory	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1763323	Fr	OF	11	6		0.300	0.588	0.300	3	10	3			3		4	6	1			1					
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	21	1638308	Moore, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1638308	So	P	11	0		0.500	0.500	0.500	1	6	3			3		0					2				2	
2017	12560	2	vs_rhp	10581	10	Ala.-Huntsville	16	1763329	Hollingworth, Drake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1763329	Fr	C	8	2		0.167	0.286	0.167	1	6	1			1		1		1			2					
2017	12560	2	vs_rhp	10581	13	Albany St. (GA)	8	1878379	Roulhac, Chasen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878379	N/A	SS	49	49		0.272	0.390	0.338	31	136	37	4	1	46	1	13	25	2	1	6	18		3		7	
2017	12560	2	vs_rhp	10581	13	Albany St. (GA)	13	1764387	Smith, Theodore	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1764387	Jr	OF	47	43		0.287	0.386	0.349	27	129	37	8		45		21	20	2	2	4	8	6			3	
