 year | team_key |           s           |         n         
 1980 | HOU      |                   2.4 |                 0
 1987 | BOS      |                   1.7 |              -0.7
 1993 | PIT      |                   2.4 |                 0
 1979 | DET      |                   2.4 |                 0
 1978 | NYY      |                  23.5 |              21.1
 1976 | NYY      |                   2.2 |              -0.3
 2010 | KCR      |                   5.2 |               2.7
 1967 | BOS      |                   2.5 |                 0
 1999 | SFG      |                   2.7 |               0.2
 2007 | LAD      |                   0.9 |              -1.6
 1971 | TEX      |                   4.7 |               2.2
 2010 | PHI      |                   2.6 |                 0
 1967 | CLE      |                   2.6 |                 0
 1971 | BAL      |                   2.6 |              -0.1
 2005 | BAL      |                   3.9 |               1.1
 2010 | STL      |                   2.8 |                 0
 1977 | DET      |                   3.3 |               0.4
 2009 | FLA      |                   6.5 |               3.6
 2009 | CHW      |                   3.7 |               0.8
 1973 | TEX      |                  13.4 |              10.4
 1972 | TEX      |                  40.5 |              37.5
 2001 | COL      |                   3.5 |               0.5
 1992 | ANA      |                   4.7 |               1.7
 2002 | OAK      |                  41.3 |              38.3
 1970 | KCR      |                     3 |                 0
 1979 | OAK      |                  -0.3 |              -3.4
 2008 | TBD      |                   3.1 |                 0
 2000 | TOR      |                     3 |              -0.2
 2006 | MIL      |                   3.2 |                 0
 2007 | PHI      |                     2 |              -1.2
 2000 | DET      |                   3.2 |                 0
 2002 | NYY      |                   3.2 |                 0
 1980 | BOS      |                  24.5 |              21.1
 2008 | WSN      |                   8.2 |               4.8
 2010 | PIT      |                   3.4 |                 0
 1995 | SDP      |                   1.2 |              -2.2
 1975 | BAL      |                   3.3 |              -0.1
 2010 | LAD      |                   9.2 |               5.7
 2002 | STL      |                   3.5 |                 0
 2001 | HOU      |                   2.1 |              -1.4
 2010 | NYY      |                   3.5 |                 0
 1969 | WSN      |                   3.5 |                 0
 2002 | TOR      |                   2.2 |              -1.4
 1997 | NYY      |                   5.3 |               1.7
 1981 | DET      |                   2.8 |              -0.8
 1981 | CHW      |                   3.5 |              -0.1
 1979 | NYM      |                    13 |               9.2
 1999 | ATL      |                   3.8 |                 0
 1996 | ANA      |                   3.5 |              -0.3
 2002 | MIL      |                    33 |              29.1
 1982 | MIN      |                   7.3 |               3.3
 1965 | SFG      |                   3.9 |              -0.1
 1996 | TBD      |                  10.2 |               6.1
 1982 | WSN      |                   9.8 |               5.7
 2008 | ATL      |                  19.4 |              15.2
 1985 | SEA      |                   4.2 |                 0
 1998 | SFG      |                   4.2 |                 0
 1979 | KCR      |                  13.4 |               9.2
 2010 | MIN      |                   3.6 |              -0.6
 2003 | CIN      |                     3 |              -1.2
 2010 | TOR      |                  20.8 |              16.5
 1988 | OAK      |                   8.5 |               4.2
 1982 | NYY      |                  39.3 |              34.9
 2004 | CHC      |                   8.4 |                 4
 1982 | LAD      |                   4.4 |                 0
 1982 | HOU      |                   3.7 |              -0.7
 1996 | BAL      |                   8.3 |               3.9
 1985 | NYY      |                   2.5 |              -1.9
 1990 | STL      |                   4.4 |              -0.1
 1966 | HOU      |                  20.1 |              15.5
 2006 | CHW      |                   8.1 |               3.5
 1983 | DET      |                   3.2 |              -1.4
 1986 | CHW      |                   4.6 |                 0
 2007 | DET      |                  17.1 |              12.5
 1999 | CHW      |                  10.8 |               6.1
 1966 | TEX      |                   1.8 |              -2.9
 2008 | CHC      |                    20 |              15.2
 2005 | FLA      |                   4.8 |                 0
 1974 | NYY      |                   4.8 |                 0
 2008 | BAL      |                   4.6 |              -0.2
 1989 | PHI      |                   5.1 |               0.3
 1968 | BAL      |                  31.2 |              26.3
 1997 | WSN      |                   4.9 |                 0
 1966 | CHC      |                   4.9 |                 0
 2009 | ATL      |                   5.7 |               0.8
 2010 | SFG      |                     5 |              -0.1
 1977 | TEX      |                   5.1 |                 0
 1998 | NYM      |                     5 |              -0.2
 1980 | SEA      |                  11.3 |               6.1
 1986 | SDP      |                   4.6 |              -0.7
 2003 | MIN      |                    14 |               8.6
 2004 | NYM      |                   3.9 |              -1.5
 2002 | ARI      |                   5.5 |                 0
 2007 | CHW      |                   5.1 |              -0.4
 2006 | TOR      |                   3.8 |              -1.7
 1993 | ANA      |                   5.5 |                 0
 1993 | CIN      |                     4 |              -1.6
 1969 | DET      |                     4 |              -1.6
 2003 | NYM      |                   5.4 |              -0.3
 1989 | KCR      |                   5.5 |              -0.2
 1994 | DET      |                  10.8 |               5.1
 1989 | SFG      |                   8.7 |               2.9
 1991 | LAD      |                   4.4 |              -1.4
 2001 | TOR      |                   6.5 |               0.7
 1967 | TEX      |                     6 |               0.1
 2004 | CLE      |                   5.9 |                 0
 1979 | CIN      |                  13.6 |               7.6
 2000 | CLE      |                  14.5 |               8.5
 1970 | DET      |                     6 |                 0
 2008 | CIN      |                   6.1 |                 0
 1979 | PHI      |                   7.7 |               1.5
 1994 | CHC      |                   6.2 |                 0
 2006 | ANA      |                   5.9 |              -0.3
 1976 | ATL      |                   9.8 |               3.6
 2010 | HOU      |                   4.6 |              -1.6
 2003 | CHW      |                   6.3 |                 0
 1997 | ARI      |                   6.4 |                 0
 1984 | TOR      |                   7.7 |               1.3
 1966 | NYY      |                   6.5 |                 0
 2004 | FLA      |                  17.7 |              11.2
 1971 | CHC      |                  13.6 |                 7
 2008 | OAK      |                   8.2 |               1.6
 1979 | MIN      |                   4.3 |              -2.3
 2003 | KCR      |                   7.1 |               0.4
 1977 | CHC      |                     4 |              -2.8
 1986 | BOS      |                   6.2 |              -0.6
 1975 | BOS      |                   6.1 |              -0.8
 1993 | WSN      |                   5.8 |              -1.3
 1990 | SFG      |                   6.8 |              -0.3
 1997 | CIN      |                   7.2 |                 0
 1990 | CIN      |                  12.6 |               5.4
 1983 | NYM      |                  53.8 |              46.4
 2005 | CHW      |                   7.3 |              -0.1
 2003 | WSN      |                   7.1 |              -0.3
 2008 | FLA      |                   7.4 |              -0.1
 1968 | ANA      |                   8.6 |               1.1
 1991 | BAL      |                   7.5 |                 0
 1974 | TEX      |                  24.4 |              16.9
 2007 | PIT      |                   9.8 |               2.2
 1993 | CHC      |                   7.2 |              -0.4
 1983 | KCR      |                  28.2 |              20.6
